passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,vendor_id,pickup_datetime,dropoff_datetime,rate_code,payment_type,imp_surcharge
1,0.83,-73.98474884,40.72187042,,N,-73.99826813,40.72386932,6.5,1,0.5,0,0,8.3,2,06/01/2015 5:00:00 PM,06/01/2015 5:06:53 PM,1,2,
1,6.25,-74.01445007,40.70372009,,N,-73.96040344,40.76195908,21,1,0.5,0,0,22.8,2,06/01/2015 5:00:00 PM,06/01/2015 5:22:17 PM,1,2,
1,2.2,-73.99088287,40.73465729,,N,-73.98524475,40.75948715,12.5,1,0.5,2,0,16.3,1,06/01/2015 5:00:00 PM,06/01/2015 5:17:38 PM,1,1,
1,1.4,-73.96694946,40.76991653,,N,-73.98007965,40.75447083,8.5,1,0.5,2.05,0,12.35,1,06/01/2015 5:00:00 PM,06/01/2015 5:11:07 PM,1,1,
1,0.82,-73.97571564,40.75164032,,N,-73.98731995,40.75326157,8.5,1,0.5,2.58,0,12.88,2,06/01/2015 5:00:01 PM,06/01/2015 5:11:32 PM,1,1,
2,0.88,-73.95343781,40.77973175,,N,-73.94667816,40.77257156,6,1,0.5,1.56,0,9.36,2,06/01/2015 5:00:01 PM,06/01/2015 5:06:11 PM,1,1,
1,1.69,-73.96485138,40.80686188,,N,-73.98069,40.78834915,9.5,1,0.5,2.82,0,14.12,2,06/01/2015 5:00:01 PM,06/01/2015 5:11:19 PM,1,1,
1,2.86,-73.99091339,40.73801041,,N,-73.97348785,40.7569046,29.5,1,0.5,5,0,36.3,2,06/01/2015 5:00:02 PM,06/01/2015 5:52:23 PM,1,1,
1,12.05,-73.8730011,40.77407837,,N,-73.7822876,40.64878464,37,1,0.5,0,0,38.8,2,06/01/2015 5:00:02 PM,06/01/2015 5:40:04 PM,1,2,
2,0.9,-73.97428131,40.7512207,,N,-73.96114349,40.75762177,12.5,1,0.5,0,0,14.3,2,06/01/2015 5:00:02 PM,06/01/2015 5:19:53 PM,1,2,
1,9.7,-73.87439728,40.77402115,,N,-73.98103333,40.78845215,32,1,0.5,0,5.54,39.34,1,06/01/2015 5:00:02 PM,06/01/2015 5:32:00 PM,1,2,
1,4.54,-73.98444366,40.7797699,,N,-73.94286346,40.82712936,17.5,1,0.5,2,0,21.3,2,06/01/2015 5:00:02 PM,06/01/2015 5:19:48 PM,1,1,
1,1.4,-73.9955368,40.73316956,,N,-74.00510406,40.74655533,7,1,0.5,2.2,0,11,1,06/01/2015 5:00:03 PM,06/01/2015 5:07:16 PM,1,1,
6,1.03,-73.96858215,40.77024078,,N,-73.97808838,40.75774384,7,1,0.5,1,0,9.8,2,06/01/2015 5:00:03 PM,06/01/2015 5:08:28 PM,1,1,
6,2.55,-73.98209381,40.76323318,,N,-73.98962402,40.73427582,11,1,0.5,2.56,0,15.36,2,06/01/2015 5:00:03 PM,06/01/2015 5:13:38 PM,1,1,
1,2.1,-73.98113251,40.78162766,,N,-73.96855164,40.76173019,11,1,0.5,4,0,16.8,1,06/01/2015 5:00:03 PM,06/01/2015 5:14:20 PM,1,1,
1,2.37,-74.00545502,40.73810577,,N,-73.97792816,40.75227356,16,1,0.5,1,0,18.8,2,06/01/2015 5:00:03 PM,06/01/2015 5:23:48 PM,1,1,
1,1.16,-73.96256256,40.77656937,,N,-73.95029449,40.78731155,6.5,1,0.5,1.66,0,9.96,2,06/01/2015 5:00:03 PM,06/01/2015 5:06:39 PM,1,1,
5,2.33,-73.99615479,40.73727798,,N,-73.96734619,40.75259018,29,1,0.5,6.16,0,36.96,2,06/01/2015 5:00:03 PM,06/01/2015 5:51:19 PM,1,1,
1,1,-73.99513245,40.74979782,,N,-73.98210144,40.75091934,11.5,1,0.5,0,0,13.3,1,06/01/2015 5:00:03 PM,06/01/2015 5:17:52 PM,1,2,
1,0.5,-73.98979187,40.75662613,,N,-73.99828339,40.76070023,4.5,1,0.5,0,0,6.3,1,06/01/2015 5:00:03 PM,06/01/2015 5:03:35 PM,1,2,
1,2.5,-73.98999786,40.75182724,,N,-73.98119354,40.78279495,12.5,1,0.5,2.85,0,17.15,1,06/01/2015 5:00:04 PM,06/01/2015 5:16:30 PM,1,1,
1,1,-73.97917938,40.75017929,,N,-73.98487854,40.75932693,9,1,0.5,2.7,0,13.5,1,06/01/2015 5:00:04 PM,06/01/2015 5:12:54 PM,1,1,
1,0.7,-73.97510529,40.75114441,,N,-73.97583008,40.75115967,3,1,0.5,0,0,4.8,1,06/01/2015 5:00:05 PM,06/01/2015 5:01:14 PM,1,2,
1,1.06,-73.95477295,40.7863884,,N,-73.96836853,40.7924118,7,1,0.5,1.76,0,10.56,2,06/01/2015 5:00:05 PM,06/01/2015 5:07:51 PM,1,1,
1,0.8,0,0,,N,0,0,6,1,0.5,1.55,0,9.35,1,06/01/2015 5:00:05 PM,06/01/2015 5:06:40 PM,1,1,
1,2.09,-73.96126556,40.78020477,,N,-73.95941925,40.78294373,13.5,1,0.5,3.82,0,19.12,2,06/01/2015 5:00:05 PM,06/01/2015 5:20:36 PM,1,1,
1,1.8,-73.9894104,40.73971176,,N,-73.97935486,40.76149368,11.5,1,0.5,3.3,0,16.6,1,06/01/2015 5:00:05 PM,06/01/2015 5:16:35 PM,1,1,
1,1.52,-73.95745087,40.78010178,,N,-73.96943665,40.76121902,9.5,1,0.5,0,0,11.3,2,06/01/2015 5:00:05 PM,06/01/2015 5:11:26 PM,1,2,
1,2.76,-73.98098755,40.74692535,,N,-73.95519257,40.77716446,14.5,1,0.5,1,0,17.3,2,06/01/2015 5:00:06 PM,06/01/2015 5:20:02 PM,1,1,
1,3.2,-73.99517822,40.7549057,,N,-73.98589325,40.71940231,14.5,1,0.5,0,0,16.3,1,06/01/2015 5:00:06 PM,06/01/2015 5:18:26 PM,1,2,
2,0.41,-74.00826263,40.74531937,,N,-74.00557709,40.74105835,5,1,0.5,1.5,0,8.3,2,06/01/2015 5:00:06 PM,06/01/2015 5:05:19 PM,1,1,
5,3.61,-73.97689819,40.78012085,,N,-73.97884369,40.74065018,17.5,1,0.5,5.79,0,25.09,2,06/01/2015 5:00:06 PM,06/01/2015 5:24:23 PM,1,1,
5,0,-73.98771667,40.75558853,,N,-73.98777008,40.7555809,2.5,1,0.5,0,0,4.3,2,06/01/2015 5:00:06 PM,06/01/2015 5:00:24 PM,1,2,
2,8.48,-73.98215485,40.77481842,,N,-74.01083374,40.6720047,30.5,1,0.5,7.57,5.54,45.41,2,06/01/2015 5:00:07 PM,06/01/2015 5:37:41 PM,1,1,
2,0.51,-73.95201874,40.77772903,,N,-73.95085144,40.77249146,4,1,0.5,0.5,0,6.3,2,06/01/2015 5:00:07 PM,06/01/2015 5:02:20 PM,1,1,
2,3.64,-73.9763031,40.73978806,,N,-73.95030212,40.78401566,16.5,1,0.5,2,0,20.3,2,06/01/2015 5:00:07 PM,06/01/2015 5:22:44 PM,1,1,
2,1.55,-73.98880768,40.74840927,,N,-73.96945953,40.75505066,10.5,1,0.5,2,0,14.3,2,06/01/2015 5:00:07 PM,06/01/2015 5:15:00 PM,1,1,
2,2.02,-73.99810791,40.73549271,,N,-74.00978088,40.71480179,8.5,1,0.5,1,0,11.3,2,06/01/2015 5:00:08 PM,06/01/2015 5:08:15 PM,1,1,
1,3.2,-74.0140152,40.71216965,,N,-73.99538422,40.74960327,13,1,0.5,0,0,14.8,1,06/01/2015 5:00:08 PM,06/01/2015 5:14:41 PM,1,2,
2,1.1,-73.97829437,40.77817154,,N,-73.97989655,40.78899002,6,1,0.5,0,0,7.8,1,06/01/2015 5:00:08 PM,06/01/2015 5:05:07 PM,1,2,
1,1.38,-73.99904633,40.73958588,,N,-73.9972229,40.72478867,7.5,1,0.5,1.86,0,11.16,2,06/01/2015 5:00:08 PM,06/01/2015 5:08:26 PM,1,1,
1,1.7,-73.98709869,40.72461319,,Y,-73.97747803,40.74460602,8,1,0.5,1,0,10.8,1,06/01/2015 5:00:08 PM,06/01/2015 5:09:09 PM,1,1,
1,1.4,0,0,,N,0,0,8,1,0.5,0,0,9.8,1,06/01/2015 5:00:08 PM,06/01/2015 5:08:58 PM,1,2,
1,0.4,-73.97930908,40.77680206,,N,-73.97731018,40.77251434,4,1,0.5,0,0,5.8,1,06/01/2015 5:00:09 PM,06/01/2015 5:03:36 PM,1,2,
2,18.3,-73.79029083,40.6438942,,N,-73.97814178,40.76485062,52,0,0.5,0,5.54,58.34,1,06/01/2015 5:00:09 PM,06/01/2015 5:52:03 PM,2,2,
1,0.58,-73.9810257,40.77014923,,N,-73.98034668,40.76453781,4.5,1,0.5,0,0,6.3,2,06/01/2015 5:00:09 PM,06/01/2015 5:03:29 PM,1,1,
1,0.7,-73.9753418,40.75224686,,N,-73.97754669,40.74378586,6,1,0.5,1.55,0,9.35,1,06/01/2015 5:00:09 PM,06/01/2015 5:06:37 PM,1,1,
1,0.3,-73.97193146,40.75702667,,N,-73.97524261,40.75270462,4,1,0.5,0,0,5.8,1,06/01/2015 5:00:09 PM,06/01/2015 5:02:57 PM,1,2,
1,2.15,-74.00314331,40.7492981,,N,-73.98280334,40.77576065,8.5,1,0.5,2.58,0,12.88,2,06/01/2015 5:00:10 PM,06/01/2015 5:07:54 PM,1,1,
1,6.84,-73.98242188,40.74603653,,N,-73.97132111,40.69031525,31.5,1,0.5,0,0,33.3,2,06/01/2015 5:00:10 PM,06/01/2015 5:42:55 PM,1,2,
1,6.5,-73.78359222,40.64867401,,N,-73.82062531,40.71427155,20,1,0.5,0,0,21.8,1,06/01/2015 5:00:10 PM,06/01/2015 5:16:18 PM,1,2,
1,9.6,-73.86351776,40.76979828,,N,-73.99079895,40.7486763,37.5,1,0.5,9,5.54,53.84,1,06/01/2015 5:00:11 PM,06/01/2015 5:48:42 PM,1,1,
6,1.41,-73.97582245,40.76562881,,N,-73.98214722,40.77534103,9.5,1,0.5,2.26,0,13.56,2,06/01/2015 5:00:11 PM,06/01/2015 5:12:46 PM,1,1,
5,8.22,-73.86273193,40.7690239,,N,-73.95728302,40.81677246,28.5,1,0.5,5,5.54,40.84,2,06/01/2015 5:00:11 PM,06/01/2015 5:28:57 PM,1,1,
1,2.6,-73.98225403,40.76840591,,N,-73.96606445,40.80066299,11,1,0.5,1.5,0,14.3,1,06/01/2015 5:00:12 PM,06/01/2015 5:12:38 PM,1,1,
5,2.6,-73.98223877,40.77153015,,N,-74.00636292,40.74470901,10,1,0.5,0,0,11.8,2,06/01/2015 5:00:12 PM,06/01/2015 5:09:23 PM,1,2,
1,4.2,-73.97698212,40.77991104,,N,-73.98739624,40.73011398,18.5,1,0.5,2.5,0,22.8,1,06/01/2015 5:00:12 PM,06/01/2015 5:25:31 PM,1,1,
1,7.3,-73.87281036,40.77416992,,N,-73.8072052,40.69894028,27,1,0.5,0,0,28.8,1,06/01/2015 5:00:12 PM,06/01/2015 5:38:05 PM,1,2,
1,3.18,-73.97483063,40.74184036,,N,-73.98217773,40.77392197,17.5,1,0.5,3.86,0,23.16,2,06/01/2015 5:00:13 PM,06/01/2015 5:26:56 PM,1,1,
1,0.6,-73.9992981,40.73369598,,N,-74.00382996,40.73918533,5,1,0.5,1.35,0,8.15,1,06/01/2015 5:00:13 PM,06/01/2015 5:05:25 PM,1,1,
1,23.39,-73.96692657,40.7986908,,N,-73.78582001,40.65149689,52,0,0.5,0,5.54,58.34,2,06/01/2015 5:00:13 PM,06/01/2015 6:16:17 PM,2,2,
1,2,-73.98130798,40.77383041,,N,-74.00283813,40.76051712,11,1,0.5,2.55,0,15.35,1,06/01/2015 5:00:13 PM,06/01/2015 5:13:59 PM,1,1,
1,3.53,-74.00747681,40.7430687,,N,-73.96417236,40.75688171,25.5,1,0.5,5.46,0,32.76,2,06/01/2015 5:00:13 PM,06/01/2015 5:42:35 PM,1,1,
1,0.65,-73.99967194,40.74372101,,N,-73.9938736,40.75166702,6.5,1,0.5,2.08,0,10.38,2,06/01/2015 5:00:13 PM,06/01/2015 5:07:47 PM,1,1,
1,2.8,-73.9846344,40.76916885,,N,-73.96413422,40.80322266,11.5,1,0.5,0,0,13.3,1,06/01/2015 5:00:14 PM,06/01/2015 5:13:22 PM,1,1,
2,1.91,-73.98986053,40.75073242,,N,-74.00748444,40.74087143,10,1,0.5,2.36,0,14.16,2,06/01/2015 5:00:14 PM,06/01/2015 5:12:37 PM,1,1,
1,1.6,-73.98207855,40.76608658,,N,-74.00244141,40.7608223,9.5,1,0.5,2.25,0,13.55,1,06/01/2015 5:00:15 PM,06/01/2015 5:11:35 PM,1,1,
2,18,-73.79031372,40.64687347,,N,-73.97859192,40.76164627,52,0,0.5,0,5.54,58.34,1,06/01/2015 5:00:15 PM,06/01/2015 6:23:44 PM,2,2,
2,1.1,-73.95770264,40.77928925,,N,-73.96535492,40.7906723,6.5,1,0.5,0,0,8.3,1,06/01/2015 5:00:15 PM,06/01/2015 5:05:48 PM,1,2,
1,17.77,-73.78977203,40.64707565,,N,-73.97991943,40.7623024,52,0,0.5,0,5.54,58.34,2,06/01/2015 5:00:15 PM,06/01/2015 6:09:19 PM,2,1,
2,9.29,-73.86321259,40.76991653,,N,-73.96801758,40.79399109,31.5,1,0.5,7.5,5.54,46.34,2,06/01/2015 5:00:15 PM,06/01/2015 5:32:04 PM,1,1,
1,1.4,-73.95227051,40.78116226,,N,-73.94069672,40.79914093,6,1,0.5,1.95,0,9.75,1,06/01/2015 5:00:16 PM,06/01/2015 5:04:23 PM,1,1,
2,0.85,-73.95381927,40.7870369,,N,-73.95100403,40.77897263,5,1,0.5,1,0,7.8,2,06/01/2015 5:00:16 PM,06/01/2015 5:04:33 PM,1,1,
3,0.42,-73.98442841,40.77484131,,N,-73.98156738,40.78011703,8.5,1,0.5,3.09,0,13.39,2,06/01/2015 5:00:16 PM,06/01/2015 5:12:10 PM,1,1,
1,1.6,0,0,,N,0,0,9,1,0.5,1,0,11.8,1,06/01/2015 5:00:16 PM,06/01/2015 5:10:55 PM,1,1,
1,0.5,-73.98560333,40.73560333,,N,-73.98075104,40.74223328,6,1,0.5,2,0,9.8,1,06/01/2015 5:00:16 PM,06/01/2015 5:07:16 PM,1,1,
